Festivals,Start_Date,End_Date
Butch Cassidy Film Festival,3 February 2020,8 February 2020
BZN Internatioanl Film Festival,27 August 2020,30 August 2020
CAAM Fest,13 May 2020,22 May 2020
Calabasas Film Festival,23 September 2020,27 September 2020
Cambria Film Festival,6 February 2020,9 February 2020
Camden International Film Festival,1 October 2020,12 October 2020
Cape Fear Independent Film Festival,30 July 2020,1 August 2020
Capital Irish Film Festival,27 February 2020,1 March 2020
Carrboro Film Fest,20 November 2020,22 November 2020
Cascade Festival of African Films,31 January 2020,29 February 2020
Catalina Film Festival,18 September 2020,27 September 2020
Central Film Festival,3 April 2020,4 April 2020
Central Michigan International Film Festival,5 February 2020,9 February 2020
Chagrin Documentary Film Festival,6 October 2020,11 October 2020
Chandler International Film Festival,17 January 2020,20 January 2020
Charlotte Black Film Festival,18 June 2020,21 June 2020
Charlotte Film Festival,23 September 2020,27 September 2020
Charlotte Jewish Film Festival,1 February 2020,23 February 2020
Chautauqua International Film Festival,18 July 2020,18 July 2020
Chelsea Film Festival,15 October 2020,18 October 2020
Chicago Horror Film Festival,25 September 2020,9 October 2020
Chicago International Children's Film Festival,13 November 2020,22 November 2020
Chicago International Film Festival,14 October 2020,25 October 2020
Chicago International REEL Shorts Film Festival,13 November 2020,14 November 2020
Chicago Irish Film Festival,27 February 2020,1 March 2020
Chicago Jewish Film Festival,28 February 2020,15 March 2020
Chicago Underground Film Festival,9 September 2020,13 September 2020
Chico Independent Film Festival,29 August 2020,30 August 2020
Children's Film Festival Seattle,27 February 2020,8 March 2020
Chistian Youth Film Festival,7 March 2020,8 March 2020
Cine-World Film Festival,6 November 2020,15 November 2020
Cinema at the Edge Independent Film Festival (CATE),21 February 2020,23 February 2020
Cinema Diverse: The Palm Springs LGBTQ Film Festival,17 September 2020,20 September 2020
Cinema on the Bayou,22 January 2020,29 January 2020
Cinema Touching Disability,1 October 2020,31 October 2020
Cinema Verde Environmental Film & Arts Festival,13 February 2020,16 February 2020
Cinequest,3 March 2020,15 March 2020
CineSol Film Festival,21 November 2020,22 November 2020
Clean Shorts Film Festival,1 May 2020,3 May 2020
Cleveland International Film Festival,15 April 2020,28 April 2020
Colony Short Film Festival,6 March 2020,7 March 2020
Colorado Environmental Film Festival,20 February 2020,22 February 2020
Common Good International Film Festival,14 February 2020,17 February 2020
Con Nooga Film Festival,21 February 2020,23 February 2020
ConCarolinas Short Film Festival,29 May 2020,31 May 2020
Coney Island Film Festival,22 September 2020,2 October 2020
Connecticut LGBT Film Festival,2 October 2020,10 October 2020
Copa Short Film Fest,7 November 2020,8 November 2020
Cordillera International Film Festival,23 July 2020,26 July 2020
Covellite International Film Festival,18 June 2020,21 June 2020
Coven Film Festival,10 January 2020,12 January 2020
Crested Butte Film Festival,25 September 2020,4 October 2020
Crimson Screen Horror Film Fest,22 May 2020,24 May 2020
Crossroads Film Festival,5 November 2020,8 November 2020
Crown Heights Film Festival,15 October 2020,17 October 2020
Crypticon Seattle Horror Film Festival,18 September 2020,20 September 2020
Dakota Film Festival,2 February 2020,4 February 2020
Dallas VideoFest Alternative Fiction,7 February 2020,10 February 2020
Dam Short Film Festival,13 February 2020,16 February 2020
Damn These Heels LGBTQ Film Festival,10 July 2020,19 July 2020
Dance Camera West,9 January 2020,12 January 2020
Dance on Camera,17 July 2020,20 July 2020
Dances With Films,27 August 2020,6 September 2020
Davis Feminist Film Festival,23 May 2020,23 May 2020
Davis Film Festival,5 April 2020,5 April 2020
Dayton Jewish Film Festival,9 June 2020,30 June 2020
DC Asian Pacific American Film Festival,1 May 2020,31 May 2020
DC Black Film Festival,18 September 2020,20 September 2020
DC Independent Film Festival,4 March 2020,8 March 2020
DC Shorts Film Festival,10 September 2020,19 September 2020
deadCENTER Film Festival,11 June 2020,14 June 2020
Deep in the Heart Film Festival 1,25 September 2020,27 September 2020
Deep in the Heart Film Festival 2,2 October 2020,4 October 2020
Defy Film Festival,12 September 2020,12 September 2020
Denton Black Film Festival ,22 January 2020,26 January 2020
Denver Film Festival,4 November 2020,15 November 2020
Denver Jewish Film Festival,5 February 2020,17 February 2020
Denver Underground Film Festival,4 December 2020,4 December 2020
Desmond District Demons Film Festival,30 October 2020,31 October 2020
Destiny City Film Festival,28 February 2020,1 March 2020
Detroit International Festival of Animation,3 April 2020,4 April 2020
Detroit Jewish Film Festival,3 May 2020,13 May 2020
DisOrient Asian American Film Festival of Oregon,12 March 2020,15 March 2020
Diwa Filipino Film Showcase of Seattle,6 June 2020,7 June 2020
Do It Your Damn Self National Youth Film Festival,6 June 2020,6 June 2020
DOC LA - Los Angeles Documentary Film Festival,21 October 2020,25 October 2020
Doc NYC,11 November 2020,19 November 2020
DOCUTAH International Documentary Film Festival,2 November 2020,7 November 2020
DocuWest Documentary Film Festival,17 September 2020,20 September 2020
Door County Short Film Festival,14 February 2020,15 February 2020
Double Exposure Film Festival,14 October 2020,18 October 2020
Downstream Film Festival,20 February 2020,22 February 2020
Duluth-Superior Film Festival,3 June 2020,7 June 2020
Durango Independent Film Festival,4 March 2020,8 March 2020
Earth Day Film Festival ,12 March 2020,19 March 2020
Eastern Oregon Film Festival,22 October 2020,24 October 2020
Elkhorn Valley BEA D7 Film and Media Conference,16 October 2020,17 October 2020
Ellensburg Film Festival,24 October 2020,24 October 2020
Epic ACG Fest,14 November 2020,15 November 2020
Etheria Film Night ,19 June 2020,20 July 2020
Explorer's Club Polar Film Festival,23 January 2020,25 January 2020
Extremely Short Film Festival,15 May 2020,22 May 2020
F3: Frankly Film Fest,9 October 2020,16 October 2020
Fairhope Film Festival,12 November 2020,15 November 2020
FANtasic Horror Film Festival,25 October 2020,27 October 2020
Fargo Fantastic Film Festival,15 October 2020,18 October 2020
Fashion Film Festival of Chicago,15 October 2020,15 October 2020
Fayetteville Film Festival,5 November 2020,7 November 2020
Fear Fete,16 October 2020,17 October 2020
Feminist Border Arts Film Festival,5 March 2020,6 March 2020
Festival Angaelica,7 October 2020,11 October 2020
Festival of Cinema NYC,1 October 2020,4 October 2020
Film Fest Petaluma,1 May 2020,2 May 2020
Film One Fest,23 June 2020,23 June 2020
FilmFort,23 September 2020,27 September 2020
Fine Arts Film Festival ,8 June 2020,14 June 2020
FirstGlance Philadelphia Film Fest,9 October 2020,11 October 2020
Flagstaff Mountain Film Festival,13 February 2020,16 February 2020
Flathead Lake International Cinemafest,24 January 2020,26 January 2020
Flatland Film Festival,24 September 2020,26 September 2020
Flickers' Rhode Island International Film Festival,4 August 2020,9 August 2020
Florida Animation Festival,11 June 2020,14 June 2020
Food Film Festival,22 October 2020,25 October 2020
Footcandle Film Festival,23 September 2020,27 September 2020
Fort Lauderdale International Film Festival,6 November 2020,22 November 2020
Fort Myers Beach International Film Festival,22 September 2020,27 September 2020
Fort Myers Film Festival,6 May 2020,10 May 2020
Fort Worth Indie Film Showcase,8 October 2020,10 October 2020
Freak Show Horror Film Festival,23 October 2020,25 October 2020
FREAKSHOW Horror Film Festival,23 October 2020,25 October 2020
Friday Harbor Film Festival,23 October 2020,25 October 2020
Front Range Film Festival,22 February 2020,22 February 2020
Frozen River Film Festival,5 February 2020,9 February 2020
Full Frame Documentary Film Festival,10 June 2020,14 June 2020
Gadabout Film Festival,18 April 2020,18 April 2020
Garifuna International Indigenous Film Festival,5 November 2020,14 November 2020
George Lindsey UNA Film Festival,5 March 2020,7 March 2020
Glendale International Film Festival,15 October 2020,21 October 2020
Global Cinema Film Festival of Boston,1 May 2020,3 May 2020
Global Impact Film Festival,6 August 2020,9 August 2020
Global Peace Film Festival,21 September 2020,4 October 2020
Gold Coast International Film Festival,3 November 2020,11 November 2020
Golden Door Film Festival,19 September 2020,26 September 2020
Golden Gate International Film Festival,6 November 2020,8 November 2020
Great Lakes International Film Festival,24 September 2020,10 October 2020
Green Bay Film Festival,6 February 2020,8 March 2020
Greenwich International Film Festival,1 May 2020,3 May 2020
Greenwich Village Film Festival,19 October 2020,21 October 2020
H.P. Lovecraft Film Festival,2 October 2020,4 October 2020
Haiti International Film Festival,15 August 2020,15 August 2020
Hamilton International Film Festival,20 July 2020,26 July 2020
Hamptons Doc Fest,3 December 2020,7 December 2020
Hamptons International Film Festival,8 October 2020,14 October 2020
Hang On To Your Shorts! Film Festival,12 September 2020,13 September 2020
Happenstance Horror Fest,12 September 2020,12 September 2020
Harlem International Film Festival,10 September 2020,13 September 2020
Hartford Jewish Film Festival,5 March 2020,15 March 2020
Harvard College Film Festival,6 November 2020,7 November 2020
Hawaii International Film Festival,5 November 2020,15 November 2020
Hayti Heritage Film Festival,13 February 2020,15 February 2020
Heartland International Film Festival ,8 October 2020,18 October 2020
Heritage Film Festival,8 October 2020,10 October 2020
Hobnobben Film Festival,23 October 2020,25 October 2020
HollyShorts ,9 November 2020,15 November 2020
Hollywood Comedy Shorts,12 November 2020,14 November 2020
Hollywood Reel Independent Film Festival,12 February 2020,24 February 2020
Hollywood Short Film Festival,11 January 2020,11 January 2020
Honolulu Rainbow Film Festival,31 July 2020,12 August 2020
Horrible Imaginings Film Festival,28 August 2020,30 August 2020
Horror Haus,23 October 2020,25 October 2020
HorrorHound Weekend Film Festival,22 May 2020,24 May 2020
Hot Springs Documentary Film Festival,9 October 2020,17 October 2020
Houston Comedy Film Festival,12 September 2020,12 September 2020
Humboldt International Film Festival,24 April 2020,28 April 2020
Idyllwild International Festival of Cinema,9 March 2020,15 March 2020
ImageOut: The Rochester LGBT Film and Video Festival,8 October 2020,18 October 2020
Imagine This Women's International Film Festival,25 September 2020,4 October 2020
In/Motion Chicago's International Dance Film Festival,21 February 2020,23 February 2020
Indie Fest USA International Film Festival,22 October 2020,25 October 2020
Indie Horror Film Festival,4 September 2020,18 September 2020
Indie Memphis Film Festival,21 October 2020,26 October 2020
Indie Street Film Festival,17 September 2020,20 September 2020
Indigo Moon Film Festival,9 October 2020,16 October 2020
Indy Film Fest,13 April 2020,23 April 2020
Indy Shorts International Film Festival,21 July 2020,26 July 2020
InterFaith Film & Music Festival,10 December 2020,13 December 2020
International Black Film Festival (Nashville),30 September 2020,4 October 2020
International Christian Film Festival,3 June 2020,6 June 2020
International Exhibition of Super Short Films,14 November 2020,14 November 2020
International Horror Hotel,10 September 2020,13 September 2020
International Maritime Film Festival,18 September 2020,27 September 2020
International Puerto Rican Heritage Film Festival,11 November 2020,15 November 2020
International Wildlife Film Festival,18 April 2020,25 April 2020
Interrobang Film Festival,26 June 2020,28 June 2020
Iowa City International Documentary Film Festival,30 April 2020,2 May 2020
Iranian Film Festival - San Francisco,19 September 2020,25 September 2020
Irish American Movie Hooley,25 September 2020,27 September 2020
Irish Film Festival Boston,19 November 2020,22 November 2020
Irvine International Film Festival,7 March 2020,7 March 2020
Jersey Shore Film Festival,23 June 2020,2 October 2020
Josiah Media Festival (Urban 15),15 October 2020,17 October 2020
Julien Dubuque International Film Festival ,17 June 2020,21 June 2020
KAFFNY Infinite Cinema,22 October 2020,25 October 2020
Kansas International Film Festival,6 November 2020,12 November 2020
Kew Gardens Festival of Cinema,7 August 2020,16 August 2020
Key West Film Festival,18 November 2020,22 November 2020
KidFilm Festival,25 January 2020,26 January 2020
Kids' Video Connection Children's Film Festival,28 June 2020,28 June 2020
KidsFilmFest,30 May 2020,30 May 2020
Kinetiscope: International Screendance Film Festival,11 January 2020,12 January 2020
LA Dance Film Festival,8 February 2020,8 February 2020
La Femme Film Festival,15 October 2020,18 October 2020
LA Indie Film Festival,13 February 2020,22 February 2020
La Jolla International Fashion Film Festival,24 July 2020,25 July 2020
Lady Filmmakers Festival,25 September 2020,4 October 2020
Lady Wild Film Fest,11 January 2020,11 January 2020
Lake County Film Festival,5 November 2020,15 November 2020
Lake Travis Film Festival,27 February 2020,1 March 2020
Lancaster International Short Film Festival,23 July 2020,25 July 2020
Las Cruces International Film Festival,4 March 2020,8 March 2020
Las Vegas Black Film Festival,6 August 2020,9 August 2020
Las Vegas Film Festival,28 May 2020,31 May 2020
LDS Film Festival,24 February 2020,29 February 2020
Legacy of Black Women Film Showcase,17 January 2020,19 January 2020
Les Bois Film Festival,7 March 2020,7 March 2020
Life Fest Film Festival,1 May 2020,3 May 2020
Life In Motion: A Colorado Dance Film Festival,22 February 2020,22 February 2020
Lighthouse International Film Festival,16 June 2020,20 June 2020
Literally Short Film Festival,3 June 2020,17 June 2020
Lone Star Film Festival,4 November 2020,8 November 2020
Long Beach QFilm Festival,10 September 2020,13 September 2020
Long Island International Film Expo,30 September 2020,8 October 2020
Longwood Animation Film Festival,21 February 2020,28 February 2020
Lookout Wild Film Festival,16 January 2020,19 January 2020
Los Angeles Animation Festival,5 December 2020,6 December 2020
Los Angeles Asian Pacific Film Festival,30 April 2020,8 May 2020
Los Angeles Diversity Film Festival,26 August 2020,29 August 2020
Los Angeles Greek Film Festival,30 May 2020,7 June 2020
Los Angeles International Underground Film Festival,6 December 2020,6 December 2020
Los Angeles Latino International Film Festival,3 June 2020,7 June 2020
Los Angeles Reel Film Festival,16 May 2020,17 May 2020
Los Angeles Short Film Festival,14 March 2020,15 March 2020
Los Angeles Women's International Film Festival,10 January 2020,12 January 2020
"Los Angeles, Italia",2 February 2020,8 February 2020
Louisville Jewish Film Festival,8 February 2020,3 March 2020
Louisville's International Festival of Films,5 November 2020,7 November 2020
Love Horror Short Film Festival,18 July 2020,18 July 2020
Love International Film Festival,18 September 2020,21 September 2020
Love Your Shorts Film Festival,13 February 2020,16 February 2020
Lower East Side Film Festival,18 June 2020,29 June 2020
Macabre Faire Film Festival,16 January 2020,16 January 2020
Macon Film Festival,13 August 2020,30 August 2020
Magnolia Independent Film Festival,27 February 2020,29 February 2020
Maine International Film Festival,7 July 2020,16 July 2020
Maine Outdoor Film Festival 1,30 July 2020,2 August 2020
Maine Outdoor Film Festival 2,6 August 2020,8 August 2020
Malibu International Film Festival,10 June 2020,11 June 2020
Mammoth Lakes Film Festival,16 September 2020,20 September 2020
Manhattan Film Festival,19 June 2020,2 July 2020
Manhattan Short Film Festival,24 September 2020,4 October 2020
Martha's Vinyard International Film Festival,8 September 2020,13 September 2020
Massachusettes Independent Film Festival ,10 September 2020,12 September 2020
McMinnville Short Film Festival,21 February 2020,23 February 2020
ME Film Festival,2 November 2020,8 November 2020
Melbourne Independent Filmmakers Festival,22 October 2020,24 October 2020
Miami Film Festival,6 March 2020,15 March 2020
Miami Independent Film Festival,5 June 2020,5 July 2020
Miami International Science Fiction Film Festival,14 February 2020,16 February 2020
Miami Jewish Film Festival ,9 January 2020,20 January 2020
Miami Short Film Festival,9 November 2020,14 November 2020
Middleburg Film Festival,15 October 2020,18 October 2020
Middlebury New Filmmakers Festival ,27 August 2020,30 August 2020
Midwest WeirdFest,6 March 2020,8 March 2020
Mill Valley Film Festival,8 October 2020,18 October 2020
Milwaukee Film Festival ,15 October 2020,29 October 2020
Milwaukee Short Film Festival,11 September 2020,12 September 2020
Milwaukee Twisted Dreams Film Festival,18 June 2020,21 June 2020
Monmouth Film Festival,14 August 2020,16 August 2020
MONO NO AWARE,3 December 2020,12 December 2020
Montana Film Festival,8 October 2020,11 October 2020
Montgomery Film Festival,24 July 2020,25 July 2020
Mosaic World Film Festival,18 September 2020,20 September 2020
Motor City Nightmares International Film Festival,24 July 2020,26 July 2020
Mountainfilm,22 May 2020,25 May 2020
My HERO International Short Film Festival,12 December 2020,13 December 2020
MystiCon Independent Film Festival,28 February 2020,1 March 2020
Nacogdoches Film Festival,20 February 2020,22 February 2020
Nantucket Film Festival,23 June 2020,30 June 2020
Napa Valley Film Festival,11 November 2020,15 November 2020
Naples International Film Festival,22 October 2020,25 October 2020
Nashville Film Festival,1 October 2020,7 October 2020
Nashville Jewish Film Festival,13 October 2020,5 November 2020
NatiVisions Film Festival,24 September 2020,26 September 2020
NC South Asian Film Festival,29 January 2020,29 January 2020
NCCC Film & Animation Festival,21 November 2020,21 November 2020
Nevada City Film Festival,28 August 2020,4 September 2020
Nevermore Film Festival,28 February 2020,1 March 2020
New Hope Film Festival,17 July 2020,26 July 2020
New Jersey International Film Festival,24 January 2020,23 February 2020
New Orleans Film Festival,4 November 2020,22 November 2020
New York City Horror Film Festival,3 December 2020,6 December 2020
New York City Independent Film Festival,31 May 2020,7 June 2020
New York City Mental Health Film Festival,3 October 2020,3 October 2020
New York Jewish Film Festival,15 January 2020,28 January 2020
New York Latino Film Festival,14 September 2020,20 September 2020
New York Lift-Off Film Festival,1 July 2020,1 July 2020
New York Sephardic Jewish Film Festival,18 February 2020,27 February 2020
New York Shorts International Film Festival,21 August 2020,27 August 2020
New York State International Film Festival,25 September 2020,9 October 2020
New York WILD Film Festival,27 February 2020,1 March 2020
Newburyport Documentary Film Festival,18 September 2020,24 September 2020
NewFest: New York's LGBTQ Film Festival,21 October 2020,27 October 2020
Newport Beach Film Festival,6 August 2020,13 August 2020
NFFTY (National Film Festival for Talented Youth),22 October 2020,25 October 2020
NiFF Houston International Film Festival,21 October 2020,24 October 2020
Nightmares Film Festival,22 October 2020,25 October 2020
Nihilist International Film Festival,10 December 2020,18 December 2020
Nola Horror Film Fest,24 September 2020,27 September 2020
NOLA Horror Film Fest,24 September 2020,27 September 2020
Nordic International Film Festival,21 October 2020,25 October 2020
North Carolina Black Film Festival,14 May 2020,17 May 2020
North Carolina Gay & Lesbian Film Festival,13 August 2020,16 August 2020
Northeast Film Festival,5 December 2020,6 December 2020
Northeast Wisconsin Horror Film Festival,9 October 2020,11 October 2020
Northern Virginia Jewish Film Festival,5 November 2020,15 November 2020
NY Portuguese Short Film Festival,21 May 2020,22 May 2020
NYC Downtown Short Film Festival,11 September 2020,13 September 2020
Oak Cliff Hill Film Festival,4 June 2020,4 June 2020
OgeeChee International History Film Festival,27 February 2020,29 February 2020
Oil Valley Film Festival,4 December 2020,6 December 2020
Oklahoma Cine Latino Film Festival,6 March 2020,7 March 2020
Omaha Film Festival,3 March 2020,8 March 2020
One Screen Short Film Festival,26 February 2020,26 February 2020
Oneota Film Festival,13 February 2020,16 February 2020
Orcas Island Film Festival ,8 October 2020,12 October 2020
Oregon Independent Film Festival ,15 September 2020,30 September 2020
Oregon Short Film Festival,14 February 2020,16 February 2020
Orlando Urban Film Festival,13 November 2020,14 November 2020
Other Venice Film Festival,2 October 2020,4 October 2020
Outfest Fusion LGBTQ People of Color Film Festival,6 March 2020,11 March 2020
Outfest Los Angeles LGBTQ Film Festival,20 August 2020,30 August 2020
OUTshine LGBTQ+ Film Festival - Fort Lauderdale,8 October 2020,18 October 2020
Palm Beach Jewish Film Festival,26 January 2020,16 February 2020
Palm Springs International Film Festival,2 January 2020,13 January 2020
Palm Springs International ShortFest ,16 June 2020,22 June 2020
Pan African Film & Arts Festival,6 February 2020,17 February 2020
Panic Fest,24 January 2020,30 January 2020
Pasadena International Film Festival,11 March 2020,16 March 2020
Pensacon Short Film Festival,28 February 2020,1 March 2020
Phantoscope High School Film Festival,25 May 2020,25 May 2020
Philadelphia Asian American Film Festival,5 November 2020,15 November 2020
Philadelphia Environmental Film Festival,23 September 2020,27 September 2020
Philadelphia Film Festival,22 October 2020,1 November 2020
Philadelphia Independent Film Festival,6 May 2020,9 May 2020
Philadelphia Jewish Film Festival,7 November 2020,21 November 2020
Philadelphia Latino Film Festival,4 June 2020,7 June 2020
Philip K. Dick Science Fiction & Supernatural Festival,4 March 2020,8 March 2020
Phoenix Jewish Film Festival,9 February 2020,23 February 2020
Pictoclik Film Festival,7 November 2020,7 November 2020
Pittsburgh Independent Film Festival,26 June 2020,28 June 2020
Pittsburgh LGBT Film Festival,8 October 2020,17 October 2020
Pittsburgh Shorts Film Festival,11 November 2020,15 November 2020
Popcorn Frights Film Festival,8 October 2020,11 October 2020
Port Townsend Film Festival,24 September 2020,27 September 2020
Portland Comedy Film Festival,16 October 2020,18 October 2020
Portland Eco Film Festival,24 September 2020,1 October 2020
Portland Film Festival ,12 October 2020,18 October 2020
Portland Horror Film Festival 1,10 June 2020,10 June 2020
Portland Horror Film Festival 2,17 June 2020,21 June 2020
Portland Underground Film Festival,17 January 2020,19 January 2020
Portland Unknown Film Festival,16 October 2020,18 October 2020
Post Alley Film Festival,7 November 2020,7 November 2020
Princeton Independent Film Festival,10 October 2020,13 September 2020
Providence Children's Film Festival,14 February 2020,25 February 2020
Providence Latin American Film Festival,25 September 2020,3 October 2020
Provincetown Film Festival,16 July 2020,19 July 2020
qFLIX Philadelphia,12 July 2020,19 July 2020
Raleigh Film & Art Festival,2 October 2020,4 October 2020
Real to Reel International Film Festival,9 September 2020,12 September 2020
Red Dirt Film Festival,6 March 2020,8 March 2020
Red Nation International Film Festival,1 November 2020,15 November 2020
Red Rock Film Festival - Utah,4 November 2020,7 November 2020
Red Wasp Film Festival,2 May 2020,3 May 2020
Reel Affirmations: Washington DC's International LGBTQ Film Festival,15 October 2020,18 October 2020
Reel Out Charlotte Film Festival,24 October 2020,1 November 2020
Reel Recovery Film Festival & Symposium,16 October 2020,22 October 2020
Reel Sisters of the Diaspora Film Festival & Lecture Series,24 October 2020,25 October 2020
Reel Spirit Young Filmmakers,18 April 2020,18 April 2020
Reel Work labor Film Festival,24 April 2020,3 May 2020
Reeling: The Chicago LGBTQ+ International Film Festival,24 September 2020,4 October 2020
Revolution Me Film Festival,25 September 2020,27 September 2020
Richmond Dance Festival,24 April 2020,9 May 2020
Ridgefield Independent Film Festival,15 October 2020,18 October 2020
Ridgewood Guild International Film Festival ,7 October 2020,8 October 2020
River Bend Film Festival,1 October 2020,3 October 2020
River's Edge International Film Festival ,12 November 2020,15 November 2020
Riverside International Film Festival,11 April 2020,11 April 2020
Rochester International Film Festival,21 June 2020,27 June 2020
Rocky Mountain Women's Film Festival ,13 November 2020,15 November 2020
Rome International Film Festival,12 November 2020,15 November 2020
Rooftop Films Summer Series,15 May 2020,21 August 2020
Roswell Sci-Fi Film Festival,3 July 2020,5 July 2020
Route 66 Film Festival,22 November 2020,23 November 2020
Roxbury International Film Festival ,30 September 2020,4 October 2020
Royal Starr Film Festival,4 September 2020,13 September 2020
RSF Martha's Vinyard African American Film Festival,6 October 2020,10 October 2020
RVA Environmental Film Festival,9 February 2020,9 February 2020
Sacramento Horror Film Festival,19 September 2020,19 September 2020
Sacramento International Film Festival,25 April 2020,3 May 2020
Salute Your Shorts,21 August 2020,5 September 2020
San Antonio Film Festival,4 August 2020,9 August 2020
San Diego Arab Film Festival,19 June 2020,28 June 2020
San Diego Asian Film Festival,7 November 2020,7 November 2020
San Diego Black Film Festival,29 January 2020,2 February 2020
San Diego International Film Festival,13 October 2020,18 October 2020
San Diego Jewish Film Festival,12 February 2020,23 February 2020
San Diego Underground Film Festival,4 December 2020,6 December 2020
San Francisco Black Film Festival,11 June 2020,14 June 2020
San Francisco Frozen Film Festival,8 July 2020,13 July 2020
San Francisco Greek Film Festival,17 October 2020,24 October 2020
San Francisco Green Film Festival,10 September 2020,20 September 2020
San Francisco Independent Film Festival,30 January 2020,13 February 2020
